District,Year,soil_moisture,clay_0-30cm_mean_(%),sand_0-30cm_mean_(%),silt_0-30cm_mean_(%),soc_0-30cm_mean_(g/kg),bdod_0-30cm_mean_(g/cm³),cec_0-30cm_mean_(meq/100g),phh2o_0-30cm_mean_(pH),nitrogen_0-30cm_mean_(mg/kg),All Sky Longwave Down (W/m²),Cloud Coverage (%),Surface Pressure (kPa),Relative Humidity (%),Average Temperature (°C),Max Temperature (°C),Min Temperature (°C),Monthly Rainfall (mm),Area('000 acres),Yield(tonnes_per_acre),UREA,NP,MAP,SSP,SOP,MOP,AS,NPKs,25th_Percentile-(May),75th_Percentile-(May),IQR-(May),Kurtosis-(May),Max_NDVI-(May),Mean_NDVI-(May),Median_NDVI-(May),Skewness-(May),Std_NDVI-(May),Variance-(May)
attock,2001,0.243751431,23.17901964,19.49466876,57.32633798,8.916800462,1.523007811,16.3738695,7.032652587,99.29446296,28.08,38.71571429,96.93410713375,26.76285714,20.50142857,33.02857143,9.657142857,11.50142857,350.0,0.277142857,585.8000000000001,371.57777777777767,202.6947097484333,314.0500049347751,355.48825037680234,58.40690325676498,212.71211355451416,96.18058159035476,0.1329,0.1972,0.0642,1.4131,0.4687,0.1691,0.1593,0.8249,0.0494,0.0024
bahawalnagar,2001,0.147928569,22.9042233,45.04427627,32.05161438,7.725205198,1.512642505,13.79395824,7.358470603,139.6220706,29.22285714,29.22857143,99.38,25.21428571,22.90714286,36.89857143,10.19142857,7.73,703.0,0.944523471,585.7999999999998,371.5777777777778,547.2189935978718,244.4073511132972,434.3389322169165,526.18866108485,112.51986754966885,390.6744075030161,0.1448,0.1861,0.0413,5.3563,0.5487,0.1687,0.1632,1.4802,0.0361,0.0013
bahawalpur,2001,0.078699562,23.33228973,49.83835207,26.82936439,6.956910005,1.489452973,14.91368202,7.415198511,88.68007501,29.36714286,26.47857143,99.62285714,23.94,23.22571429,36.95714286,10.39142857,6.261428571,672.0,0.986607143,585.8000000000001,371.5777777777778,320.96494863910016,321.005845674195,801.3793629386511,117.2730978159732,298.91437877644444,364.8720416075037,0.1016,0.1504,0.0488,3.7225,0.564,0.1282,0.1264,0.9038,0.036,0.0013
bhakkar,2001,0.070730687,22.99418972,34.65893653,42.34668707,7.004199957,1.504818159,15.03399747,7.562328115,84.25889218,29.09142857,30.23571429,99.11142857,27.46285714,21.55,34.41,9.565714286,14.76428571,347.0,0.90778098,585.8000000000002,371.5777777777777,307.4219269540844,270.7068470201942,246.03632970533823,193.1095213127376,89.81415528777309,521.2018084503022,0.0568,0.1773,0.1205,0.471,0.5058,0.1297,0.1306,0.717,0.0741,0.0055
chakwal,2001,0.223420207,24.95145552,34.04584409,41.00278272,8.916800462,1.518841192,16.23380115,7.27006394,109.6470119,28.13428571,35.12,96.93410713375,28.58428571,19.92571429,33.40285714,8.035714286,17.40714286,332.0,0.243975904,585.8000000000002,371.57777777777767,315.54037267080747,259.5990481875986,316.6376061460916,244.9533333333333,269.28207081328696,474.2626273728487,0.1457,0.2034,0.0577,1.5572,0.5186,0.1831,0.1642,1.2597,0.0563,0.0032
chiniot,2001,0.178236771,21.38071035,29.89557793,48.72370037,7.98566382,1.515365903,11.9200304,7.652336945,80.83532067,29.09714286,32.41428571,98.94428571,28.71,21.72,35.39714286,8.987142857,18.52,454.0,1.112055202,585.8000000000002,371.5777777777777,120.15826759295328,88.53105643553062,0.0,0.0,308.3659029308838,664.910257695208,0.1977,0.27,0.0724,0.7154,0.5041,0.2364,0.2314,0.5234,0.0553,0.0031
dera ghazi khan,2001,0.112759041,23.39515004,42.09708534,34.5078131,6.731983444,1.493035367,14.52150244,7.59410394,78.71948246,29.25413536510645,26.16428571,98.20428571,22.58428571,22.97285714,36.46857143,11.97428571,9.41,384.0,1.122395833,585.7999999999998,371.5777777777778,133.0361997332502,59.21329765611161,92.41730771497006,140.26496920035066,284.44541060122094,395.087743309507,0.134,0.1945,0.0605,4.247,0.571,0.1676,0.1622,0.7271,0.0622,0.0039
faisalabad,2001,0.181996623,23.74880918,33.73281683,46.87053341,7.908887425,1.515365903,12.05106161,7.668717385,80.18262089,29.22857143,34.91142857,98.94428571,28.71,21.72,35.39714286,8.987142857,18.52,648.0,1.183641975,585.8000000000002,371.5777777777777,463.1294249187803,446.7664055938294,25.51624018271565,326.8300418522484,293.5354792038294,723.7863634887032,0.1979,0.2517,0.0538,1.1263,0.4998,0.2275,0.2222,0.7377,0.043,0.0018
gujranwala,2001,0.211190422,27.76819004,29.90469572,42.32715599,9.39715933,1.523060939,15.08010092,7.728752551,87.61308896,28.81285714,38.55,98.66,28.33142857,21.56857143,35.45142857,9.262857143,16.49857143,532.0,1.15037594,585.8000000000002,371.5777777777777,424.1701950898664,248.48128342245988,0.0,624.127496060705,48.77887116005303,723.7863634887032,0.1753,0.2362,0.0609,3.8112,0.6253,0.2087,0.2021,1.004,0.0504,0.0025
gujrat,2001,0.230011876,26.05328035,32.963105,40.98357489,10.38613988,1.517214506,15.7080344,7.287606163,111.744565,28.81285714,38.55,98.04857143,25.71857143,21.83142857,35.14714286,11.08142857,17.56857143,323.0,0.448916409,585.8000000000001,371.5777777777779,364.18428868383313,446.7664055938294,25.62534128535312,0.0,42.27390231076146,132.86704187530376,0.1814,0.2433,0.0619,3.5447,0.5633,0.2168,0.2102,1.1495,0.0514,0.0026
hafizabad,2001,0.210005453,27.38310484,30.33962519,42.27734727,9.299787954,1.523060939,14.67897171,7.724490479,86.4714649,28.77714286,36.74428571,98.66,28.33142857,21.56857143,35.45142857,9.262857143,16.49857143,321.0,1.07788162,585.7999999999998,371.57777777777767,448.91028212317576,248.48128342245988,10.01827896782163,182.7026750979047,418.56498575681815,699.8910919976547,0.1727,0.2328,0.0601,3.9285,0.6253,0.2054,0.1989,0.9631,0.0494,0.0024
jhang,2001,0.165335904,22.7898802,38.69853023,38.51152223,7.684066378,1.521484137,13.99187519,7.453346006,89.22363342,29.09714286,32.41428571,99.08,29.73857143,21.61714286,35.29571429,9.021428571,20.58857143,850.125,1.031390135,585.8,371.57777777777767,294.6023120686068,375.5968966957884,398.16962985501135,252.73251188069176,167.9301009628359,583.7102318947839,0.1705,0.236,0.0655,2.6622,0.5664,0.2081,0.1998,1.1023,0.0561,0.0031
jhelum,2001,0.229788171,25.41279174,37.12843044,37.45862102,8.916800462,1.523060939,17.82760547,7.169056461,112.1385719,28.77714286,36.74428571,96.93410713375,28.58428571,19.92571429,33.40285714,8.035714286,17.40714286,117.0,0.307692308,585.7999999999997,371.57777777777767,345.67483836253723,248.48128342245988,160.5658994907628,298.3955845116401,0.0,386.7708592645557,0.1515,0.1811,0.0296,5.5231,0.4782,0.1685,0.1644,1.4203,0.0262,0.0007
